# 1:phase(%)		 2:age(days)		  3:diameter(arcsec)	    4:lon(deg)		     5:lat(deg)		      6:pos.angle (deg)
6.160000000000000142e+01 2.022027777777777757e+01 1.779500000000000000e+03 -7.445999999999999375e+01 1.502000000000000002e+00 2.495499999999999829e+01
6.120000000000000284e+01 2.023722222222222200e+01 1.779099999999999909e+03 -7.496699999999999875e+01 1.502000000000000002e+00 2.496499999999999986e+01
6.079999999999999716e+01 2.025416666666666643e+01 1.778799999999999955e+03 -7.547299999999999898e+01 1.502000000000000002e+00 2.497400000000000020e+01
6.050000000000000000e+01 2.027111111111111086e+01 1.778500000000000000e+03 -7.597899999999999920e+01 1.502000000000000002e+00 2.498000000000000043e+01
6.010000000000000142e+01 2.028805555555555884e+01 1.778099999999999909e+03 -7.648499999999999943e+01 1.500999999999999890e+00 2.498499999999999943e+01
5.970000000000000284e+01 2.030499999999999972e+01 1.777799999999999955e+03 -7.699200000000000443e+01 1.500999999999999890e+00 2.498799999999999955e+01
5.929999999999999716e+01 2.032194444444444414e+01 1.777500000000000000e+03 -7.749800000000000466e+01 1.500999999999999890e+00 2.498900000000000077e+01
5.889999999999999858e+01 2.033888888888888857e+01 1.777200000000000045e+03 -7.800400000000000489e+01 1.500000000000000000e+00 2.498900000000000077e+01
5.850000000000000000e+01 2.035583333333333300e+01 1.776900000000000091e+03 -7.851099999999999568e+01 1.500000000000000000e+00 2.498699999999999832e+01
5.810000000000000142e+01 2.037277777777777743e+01 1.776700000000000045e+03 -7.901699999999999591e+01 1.500000000000000000e+00 2.498300000000000054e+01
5.779999999999999716e+01 2.038972222222222186e+01 1.776400000000000091e+03 -7.952299999999999613e+01 1.499000000000000110e+00 2.497700000000000031e+01
5.739999999999999858e+01 2.100000000000000000e+01 1.776099999999999909e+03 -8.003000000000000114e+01 1.499000000000000110e+00 2.496900000000000119e+01
5.700000000000000000e+01 2.101694444444444443e+01 1.775900000000000091e+03 -8.053600000000000136e+01 1.499000000000000110e+00 2.496000000000000085e+01
5.660000000000000142e+01 2.103388888888888886e+01 1.775700000000000045e+03 -8.104300000000000637e+01 1.497999999999999998e+00 2.494900000000000162e+01
5.620000000000000284e+01 2.105083333333333329e+01 1.775400000000000091e+03 -8.154900000000000659e+01 1.497999999999999998e+00 2.493599999999999994e+01
5.579999999999999716e+01 2.106777777777777771e+01 1.775200000000000045e+03 -8.205500000000000682e+01 1.497999999999999998e+00 2.492200000000000060e+01
5.539999999999999858e+01 2.108472222222222214e+01 1.775000000000000000e+03 -8.256199999999999761e+01 1.497999999999999998e+00 2.490500000000000114e+01
5.500000000000000000e+01 2.110166666666666657e+01 1.774799999999999955e+03 -8.306799999999999784e+01 1.497000000000000108e+00 2.488700000000000045e+01
5.460000000000000142e+01 2.111861111111111100e+01 1.774599999999999909e+03 -8.357500000000000284e+01 1.497000000000000108e+00 2.486799999999999855e+01
5.420000000000000284e+01 2.113555555555555543e+01 1.774500000000000000e+03 -8.408100000000000307e+01 1.497000000000000108e+00 2.484600000000000009e+01
5.389999999999999858e+01 2.115249999999999986e+01 1.774299999999999955e+03 -8.458799999999999386e+01 1.495999999999999996e+00 2.482300000000000040e+01
5.350000000000000000e+01 2.116944444444444429e+01 1.774200000000000045e+03 -8.509399999999999409e+01 1.495999999999999996e+00 2.479799999999999827e+01
5.310000000000000142e+01 2.118638888888888872e+01 1.774000000000000000e+03 -8.560099999999999909e+01 1.495999999999999996e+00 2.477100000000000080e+01
5.270000000000000284e+01 2.120333333333333314e+01 1.773900000000000091e+03 -8.610699999999999932e+01 1.495000000000000107e+00 2.474200000000000088e+01
5.229999999999999716e+01 2.122027777777777757e+01 1.773700000000000045e+03 -8.661400000000000432e+01 1.495000000000000107e+00 2.471199999999999974e+01
5.189999999999999858e+01 2.123722222222222200e+01 1.773599999999999909e+03 -8.712000000000000455e+01 1.495000000000000107e+00 2.467999999999999972e+01
5.150000000000000000e+01 2.125416666666666643e+01 1.773500000000000000e+03 -8.762699999999999534e+01 1.493999999999999995e+00 2.464600000000000080e+01
5.110000000000000142e+01 2.127111111111111086e+01 1.773400000000000091e+03 -8.813299999999999557e+01 1.493999999999999995e+00 2.461100000000000065e+01
5.070000000000000284e+01 2.128805555555555884e+01 1.773299999999999955e+03 -8.864000000000000057e+01 1.493999999999999995e+00 2.457300000000000040e+01
5.029999999999999716e+01 2.130499999999999972e+01 1.773299999999999955e+03 -8.914600000000000080e+01 1.493000000000000105e+00 2.453399999999999892e+01
4.989999999999999858e+01 2.132194444444444414e+01 1.773200000000000045e+03 -8.965300000000000580e+01 1.493000000000000105e+00 2.449399999999999977e+01
4.960000000000000142e+01 2.133888888888888857e+01 1.773200000000000045e+03 -9.015999999999999659e+01 1.493000000000000105e+00 2.445100000000000051e+01
4.920000000000000284e+01 2.135583333333333300e+01 1.773099999999999909e+03 -9.066599999999999682e+01 1.491999999999999993e+00 2.440700000000000003e+01
4.879999999999999716e+01 2.137277777777777743e+01 1.773099999999999909e+03 -9.117300000000000182e+01 1.491999999999999993e+00 2.436100000000000065e+01
4.839999999999999858e+01 2.138972222222222186e+01 1.773099999999999909e+03 -9.167900000000000205e+01 1.491999999999999993e+00 2.431400000000000006e+01
4.800000000000000000e+01 2.200000000000000000e+01 1.773000000000000000e+03 -9.218600000000000705e+01 1.491000000000000103e+00 2.426500000000000057e+01
4.760000000000000142e+01 2.201694444444444443e+01 1.773000000000000000e+03 -9.269299999999999784e+01 1.491000000000000103e+00 2.421399999999999864e+01
